有消费的学号,金额,,原始学号数据
14103050124,439.12,,"'14103010316',"
14103050126,363.87,,"'14103020129',"
14103050223,381.72,,"'14103020213',"
14103050226,325.2,,"'14103020325',"
14103050229,205.84,,"'14103020418',"
14103060107,1154.63,,"'14103040120',"
14103060219,648.3,,"'14103040122',"
14103070125,639.2,,"'14103040128',"
14103070204,806.68,,"'14103040221',"
14103080110,551.9,,"'14103050118',"
14103080118,486.54,,"'14103050124',"
14103080220,397.3,,"'14103050126',"
14103080221,561.73,,"'14103050223',"
14103080224,691.59,,"'14103050226',"
14103080225,847.3,,"'14103050229',"
14103090104,560.2,,"'14103060107',"
14103090202,303.2,,"'14103060219',"
14103090203,423.7,,"'14103070125',"
14103090204,469.1,,"'14103070204',"
14103090210,824.98,,"'14103080110',"
14103090217,494.2,,"'14103080118',"
14103100119,510.8,,"'14103080220',"
14103100209,435.63,,"'14103080221',"
14104010223,480.4,,"'14103080224',"
14104020219,334.31,,"'14103080225',"
14104020224,576.3,,"'14103090104',"
14104020225,238.34,,"'14103090202',"
14104020226,635.48,,"'14103090203',"
14104040127,715.08,,"'14103090204',"
14104040225,583.47,,"'14103090206',"
14104050127,625.6,,"'14103090210',"
14104050220,503.98,,"'14103090217',"
14104050221,356.1,,"'14103100119',"
14104050226,298.43,,"'14103100209',"
14105010128,388.4,,"'14104010223',"
14105010221,719,,"'14104020219',"
14105040125,481.9,,"'14104020224',"
14105040129,722.6,,"'14104020225',"
14105040132,418.26,,"'14104020226',"
14105050121,387.28,,"'14104040127',"
14108010115,620.95,,"'14104040225',"
14108010118,581.94,,"'14104050127',"
14108010129,280.7,,"'14104050220',"
14108010133,681.29,,"'14104050221',"
14108010210,353,,"'14104050226',"
14108010215,180.9,,"'14105010128',"
14108010219,491.02,,"'14105010221',"
14108010220,501.1,,"'14105040125',"
14108010232,531.8,,"'14105040129',"
14108020107,498.68,,"'14105040132',"
14108020121,522.48,,"'14105050121',"
14108020128,572.5,,"'14108010115',"
14108020218,250,,"'14108010118',"
14108020224,514.9,,"'14108010129',"
14108020227,343.51,,"'14108010133',"
14108020228,619,,"'14108010210',"
14108020229,281.87,,"'14108010215',"
14108020234,361.7,,"'14108010219',"
14108020235,623.96,,"'14108010220',"
14108030114,578.8,,"'14108010232',"
14108030117,475.1,,"'14108020107',"
14108030118,540.8,,"'14108020121',"
14108030212,426.36,,"'14108020128',"
14108030217,590.73,,"'14108020218',"
14108030218,519.3,,"'14108020224',"
14108040116,362.1,,"'14108020227',"
14108040125,385.25,,"'14108020228',"
14108040129,174.8,,"'14108020229',"
14108040132,154.9,,"'14108020234',"
14108040220,638.6,,"'14108020235',"
14108040221,580.4,,"'14108030114',"
14108040223,560.85,,"'14108030117',"
14108040226,433.6,,"'14108030118',"
14108040232,768.39,,"'14108030212',"
14802040101,299.7,,"'14108030217',"
14802040301,357.48,,"'14108030218',"
14802040401,805.05,,"'14108040116',"
14802040402,745.58,,"'14108040125',"
14804010201,586.42,,"'14108040129',"
14804040103,706.85,,"'14108040132',"
14804040203,236.3,,"'14108040220',"
14804040204,769.4,,"'14108040221',"
14857010401,548.1,,"'14108040223',"
